KL: [02:33:03.719] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [1] 蓝史莱姆 => Surface, PrimaryEnvironment: Surface
KL: [02:33:03.720] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [2] 恶魔眼 => None, PrimaryEnvironment: None
KL: [02:33:03.721] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [3] 僵尸 => None, PrimaryEnvironment: None
KL: [02:33:03.722] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [4] 克苏鲁之眼 => None, PrimaryEnvironment: None
KL: [02:33:03.723] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [5] 克苏鲁之仆 => None, PrimaryEnvironment: None
KL: [02:33:03.723] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [6] 噬魂怪 => Corruption, UndergroundCorruption, PrimaryEnvironment: UndergroundCorruption
KL: [02:33:03.724] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [7] 吞噬怪 => Corruption, UndergroundCorruption, PrimaryEnvironment: UndergroundCorruption
KL: [02:33:03.725] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [8] 吞噬怪 => None, PrimaryEnvironment: None
KL: [02:33:03.726] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [9] 吞噬怪 => None, PrimaryEnvironment: None
KL: [02:33:03.727] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [10] 巨型蠕虫 => Underground, PrimaryEnvironment: Underground
KL: [02:33:03.728] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [11] 巨型蠕虫 => None, PrimaryEnvironment: None
KL: [02:33:03.729] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [12] 巨型蠕虫 => None, PrimaryEnvironment: None
KL: [02:33:03.730] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [13] 世界吞噬怪 => Corruption, PrimaryEnvironment: Corruption
KL: [02:33:03.730] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [14] 世界吞噬怪 => None, PrimaryEnvironment: None
KL: [02:33:03.731] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [15] 世界吞噬怪 => None, PrimaryEnvironment: None
KL: [02:33:03.732] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [16] 史莱姆之母 => Caverns, PrimaryEnvironment: Caverns
KL: [02:33:03.733] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [17] 商人 => Surface, PrimaryEnvironment: Surface
KL: [02:33:03.734] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [18] 护士 => Hallow, PrimaryEnvironment: Hallow
KL: [02:33:03.735] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [19] 军火商 => Desert, PrimaryEnvironment: Desert
KL: [02:33:03.735] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [20] 树妖 => Jungle, PrimaryEnvironment: Jungle
KL: [02:33:03.736] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [21] 骷髅 => Caverns, PrimaryEnvironment: Caverns
KL: [02:33:03.737] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [22] 向导 => Surface, PrimaryEnvironment: Surface
KL: [02:33:03.738] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [23] 流星头 => Meteor, PrimaryEnvironment: Meteor
KL: [02:33:03.739] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [24] 火焰小鬼 => Underworld, PrimaryEnvironment: Underworld
KL: [02:33:03.740] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [25] 烈焰球 => None, PrimaryEnvironment: None
KL: [02:33:03.741] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [26] 哥布林苦力 => None, PrimaryEnvironment: None
KL: [02:33:03.741] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [27] 哥布林盗贼 => None, PrimaryEnvironment: None
KL: [02:33:03.742] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [28] 哥布林战士 => None, PrimaryEnvironment: None
KL: [02:33:03.743] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [29] 哥布林巫士 => None, PrimaryEnvironment: None
KL: [02:33:03.745] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [30] 混沌球 => None, PrimaryEnvironment: None
KL: [02:33:03.746] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [31] 愤怒骷髅怪 => Dungeon, PrimaryEnvironment: Dungeon
KL: [02:33:03.747] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [32] 暗黑法师 => Dungeon, PrimaryEnvironment: Dungeon
KL: [02:33:03.748] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [33] 水球 => None, PrimaryEnvironment: None
